215/40R17,83W,,7.5,7.0-8.5,350 ,487 
245/45R17,95W,,8.0,7.5-9.0,350 ,690 
215/45R17,91Y ,XL,7.0,7.0-8.0,340 ,615 
225/45R17,94Y,XL,7.5,7.0-8.5,340 ,670 
235/45R17,94Y,,8.0,7.5-9.0,350 ,670 
195/50R15,82V,,6.0,5.5-7.0,300 ,475 
205/50R16,87V,,6.5,5.5-7.5,300 ,545 
215/50R17,95W,XL,7.0,6.0-7.5,340 ,690 
225/50R16,92W,,7.0,6.0-8.0,350 ,630 
225/50R17,98W,XL,7.0,6.0-8.0,340 ,750 
245/50R18,100W,,7.5,7.0-8.5,350 ,800 
185/55R15,82V,,6.0,5.0-6.5,300 ,475 
195/55R15,85V,,6.0,5.5-7.0,300 ,515 
205/55R16,94V,XL,6.5,5.5-7.5,340 ,670 
205/55R16,94W,XL,6.5,5.5-7.5,340 ,670 
215/55R16,97W,XL,7.0,6.0-7.5,340 ,730 
225/55R17,101W,XL,7.0,6.0-8.0,340 ,825 
225/55R16,95W,,7.0,6.0-8.0,350 ,690 
215/55R17,94W,,7.0,6.0-7.5,350 ,670 
235/55R17,99W,,7.5,6.5-8.5,350 ,775 
195/60R15,88V,,6.0,5.5-7.0,300 ,560 
205/60R15,91V,,6.0,5.5-7.5,300 ,615 
205/60R16,92 V,,6.0,5.5-7.5,300 ,630 
215/60R15,94V,,6.5,6.0-7.5,300 ,670 
215/60R16,95V,,6.5,6.0-7.5,300 ,690 
225/60R16,98W,,6.5,6.0-8.0,350 ,750 
235/60R16,100W,,7.0,6.5-8.5,350 ,800 
225/60R17,99W,,6.5,6.0-8.0,350 ,775 
235/60R18,103W,,7.0,6.5-8.5,350 ,875 
195/65R15,91V,,6.0,5.5-7.0,300 ,615 
205/65R15,94V,,6.0,5.5-7.5,300 ,670 
205/65R16,95V,,6.0,5.5-7.5,300 ,690 
215/65R15,96V,,6.5,6.0-7.5,300 ,710 
215/65R16,98V,,6.5,6.0-7.5,300 ,750 
